iter	Passed	Remaining
0	2	4837
1	4	4692
2	6	4435
3	8	4298
4	10	4294
5	12	4277
6	14	4200
7	16	4195
8	18	4192
9	20	4122
10	22	4062
11	24	4005
12	25	3959
13	27	3920
14	29	3887
15	31	3853
16	32	3831
17	34	3842
18	36	3818
19	38	3800
20	40	3782
21	41	3764
22	43	3749
23	45	3736
24	47	3733
25	49	3763
26	51	3767
27	53	3756
28	55	3744
29	56	3734
30	58	3721
31	60	3721
32	62	3733
33	64	3740
34	66	3740
35	68	3741
36	70	3744
37	72	3758
38	75	3817
39	78	3838
40	81	3875
41	82	3863
42	84	3850
43	86	3867
44	88	3856
45	90	3845
46	92	3836
47	94	3839
48	96	3830
49	97	3819
50	99	3810
51	101	3800
52	103	3794
53	105	3788
54	107	3791
55	108	3783
56	110	3778
57	112	3769
58	114	3761
59	116	3754
60	117	3745
61	119	3737
62	121	3729
63	123	3724
64	125	3748
65	127	3744
66	129	3739
67	131	3732
68	133	3726
69	134	3721
70	136	3718
71	139	3747
72	142	3752
73	145	3791
74	147	3788
75	149	3781
76	151	3774
77	152	3767
78	154	3763
79	156	3756
80	158	3749
81	160	3746
82	162	3755
83	164	3748
84	166	3740
85	168	3741
86	170	3747
87	172	3740
88	173	3735
89	176	3735
90	178	3738
91	180	3752
92	183	3756
93	185	3769
94	188	3771
95	190	3771
96	192	3775
97	194	3775
98	196	3779
99	201	3820
100	203	3831
101	205	3827
102	208	3835
103	210	3832
104	212	3827
105	214	3830
106	216	3827
107	218	3829
108	220	3832
109	222	3828
110	224	3821
111	226	3815
112	228	3814
113	230	3808
114	231	3802
115	233	3796
116	235	3793
117	238	3796
118	240	3793
119	241	3789
120	243	3785
121	245	3784
122	247	3782
123	249	3780
124	251	3777
125	253	3772
126	255	3768
127	258	3786
128	261	3786
129	264	3801
130	266	3802
131	268	3803
132	270	3801
133	272	3796
134	274	3792
135	276	3788
136	278	3782
137	280	3779
138	281	3773
139	283	3767
140	285	3761
141	287	3759
142	289	3760
143	291	3754
144	293	3751
145	294	3745
146	296	3740
147	298	3736
148	300	3731
149	302	3730
150	304	3728
151	306	3723
152	308	3718
153	309	3712
154	311	3710
155	313	3708
156	315	3707
157	317	3703
158	319	3701
159	321	3696
160	323	3693
161	325	3691
162	328	3702
163	330	3704
164	334	3715
165	335	3710
166	337	3705
167	339	3700
168	341	3695
169	342	3691
170	344	3686
171	346	3684
172	348	3679
173	350	3679
174	352	3675
175	354	3671
176	356	3666
177	357	3663
178	359	3658
179	361	3658
180	363	3656
181	365	3652
182	367	3647
183	369	3645
184	371	3641
185	373	3637
186	374	3634
187	377	3634
188	378	3630
189	380	3626
190	382	3621
191	384	3618
192	386	3615
193	388	3615
194	390	3615
195	392	3615
196	395	3621
197	397	3620
198	399	3618
199	401	3616
200	403	3614
201	405	3611
202	408	3615
203	410	3612
204	412	3608
205	413	3604
206	415	3599
207	417	3596
208	419	3592
209	421	3589
210	423	3586
211	424	3583
212	426	3581
213	429	3583
214	431	3583
215	433	3580
216	435	3576
217	437	3575
218	439	3576
219	441	3573
220	443	3570
221	446	3575
222	448	3572
223	450	3568
224	452	3569
225	454	3566
226	456	3565
227	458	3564
228	460	3561
229	462	3557
230	464	3556
231	466	3552
232	468	3549
233	469	3546
234	471	3542
235	473	3538
236	475	3534
237	476	3530
238	478	3527
239	480	3523
240	482	3521
241	484	3517
242	486	3514
243	487	3511
244	489	3507
245	491	3503
246	493	3500
247	495	3497
248	496	3493
249	498	3490
250	500	3486
251	502	3486
252	504	3483
253	506	3480
254	508	3477
255	510	3475
256	512	3476
257	514	3475
258	517	3481
259	520	3481
260	523	3488
261	525	3484
262	527	3483
263	529	3483
264	532	3486
265	535	3492
266	538	3492
267	540	3495
268	543	3495
269	545	3494
270	548	3499
271	550	3499
272	553	3501
273	556	3503
274	558	3504
275	561	3506
276	563	3505
277	565	3503
278	567	3500
279	569	3500
280	571	3497
281	573	3495
282	576	3496
283	578	3495
284	580	3493
285	582	3492
286	585	3492
287	587	3491
288	589	3489
289	591	3487
290	593	3484
291	595	3482
292	597	3480
293	599	3477
294	601	3473
295	602	3471
296	604	3467
297	606	3464
298	608	3461
299	610	3457
300	612	3455
301	614	3453
302	616	3452
303	618	3451
304	620	3448
305	622	3447
306	624	3444
307	626	3442
308	628	3441
309	630	3438
310	632	3436
311	634	3434
312	636	3432
313	638	3428
314	640	3425
315	642	3422
316	644	3420
317	646	3419
318	648	3417
319	650	3414
320	652	3412
321	654	3409
322	656	3406
323	657	3402
324	659	3399
325	661	3396
326	663	3393
327	664	3389
328	666	3387
329	668	3383
330	670	3380
331	672	3379
332	674	3376
333	676	3374
334	678	3371
335	680	3367
336	681	3364
337	683	3361
338	685	3358
339	687	3355
340	689	3353
341	691	3353
342	693	3350
343	695	3347
344	697	3346
345	699	3343
346	701	3341
347	703	3339
348	706	3340
349	709	3342
350	711	3342
351	713	3340
