Date;B1_N;B1_Q;B2_N;B2_Q;OVK_Q;B1_N_Aver;B2_N_Aver;Month;Year;T;TEC_Q_Aver;TEC_N_Aver;B1_GT11_N;B1_GT12_N;B2_GT21_N;B2_GT22_N;B1_PT10_N;B2_PT20_N
01.01.2017;0;0;3061.79;2170;4119;0;127.574375;1;2017;1.2;262.0416667;127.574375;;;;;;
02.01.2017;0;0;3764.14;2344;4385;0;156.8389583;1;2017;-2.1;280.375;156.8389583;;;;;;
03.01.2017;0;0;3813.46;2581;4767;0;158.8941667;1;2017;-7.8;306.1666667;158.8941667;;;;;;
04.01.2017;0;0;3815.22;2584;5621;0;158.9672917;1;2017;-14.5;341.875;158.9672917;;;;;;
05.01.2017;0;0;4011.66;2660;6364;0;167.1522917;1;2017;-18.1;376;167.1522917;;;;;;
06.01.2017;0;0;4055.78;2680;6894;0;168.9908333;1;2017;-18.6;398.9166667;168.9908333;;;;;;
07.01.2017;0;0;3912.41;2608;7261;0;163.016875;1;2017;-18.4;411.2083333;163.016875;;;;;;
08.01.2017;0;0;3799.52;2574;7372;0;158.313125;1;2017;-9.4;414.4166667;158.313125;;;;;;
09.01.2017;0;0;3889.04;2319;7019;0;162.043125;1;2017;-1.1;389.0833333;162.043125;;;;;;
10.01.2017;0;0;3829.61;2280;6377;0;159.5670833;1;2017;0.8;360.7083333;159.5670833;;;;;;
11.01.2017;0;0;3550.42;2392;5927;0;147.9341667;1;2017;-4.3;346.625;147.9341667;;;;;;
12.01.2017;0;0;3888.75;2349;5821;0;162.0310417;1;2017;-3.7;340.4166667;162.0310417;;;;;;
13.01.2017;0;0;3818.93;2216;5887;0;159.1220833;1;2017;-2.2;337.625;159.1220833;;;;;;
14.01.2017;0;0;3729.33;2151;5883;0;155.38875;1;2017;0;334.75;155.38875;;;;;;
15.01.2017;0;0;3911.97;1980;6026;0;162.99875;1;2017;-0.9;333.5833333;162.99875;;;;;;
16.01.2017;0;0;3765.97;2385;5726;0;156.9152083;1;2017;-2.8;337.9583333;156.9152083;;;;;;
17.01.2017;0;0;3732.97;2553;5470;0;155.5402083;1;2017;-4;334.2916667;155.5402083;;;;;;
18.01.2017;0;0;3679.95;2448;5437;0;153.33125;1;2017;-1.9;328.5416667;153.33125;;;;;;
19.01.2017;0;0;3746.01;2357;4820;0;156.08375;1;2017;0.9;299.0416667;156.08375;;;;;;
20.01.2017;0;0;3648.74;2439;5007;0;152.0308333;1;2017;-0.5;310.25;152.0308333;;;;;;
21.01.2017;0;0;3748.22;2443;5436;0;156.1758333;1;2017;-3.5;328.2916667;156.1758333;;;;;;
22.01.2017;0;0;3602.97;2322;5703;0;150.12375;1;2017;-1.4;334.375;150.12375;;;;;;
23.01.2017;0;0;3687.12;2317;5328;0;153.6297917;1;2017;0.6;318.5416667;153.6297917;;;;;;
24.01.2017;0;0;3723.56;2423;5263;0;155.1483333;1;2017;-2.4;320.25;155.1483333;;;;;;
25.01.2017;0;0;3662.76;2557;5232;0;152.6147917;1;2017;-5.8;324.5416667;152.6147917;;;;;;
26.01.2017;0;0;3757.02;2268;5514;0;156.5422917;1;2017;-2.8;324.25;156.5422917;;;;;;
27.01.2017;0;0;3703.94;2351;5256;0;154.330625;1;2017;0.9;316.9583333;154.330625;;;;;;
28.01.2017;0;0;2074.91;1280;6128;0;86.454375;1;2017;-0.5;308.6666667;86.454375;;;;;;
29.01.2017;0;0;2048.46;1292;6379;0;85.3525;1;2017;-0.3;319.625;85.3525;;;;;;
30.01.2017;0;0;3331.21;1985;5356;0;138.8002083;1;2017;0.2;305.875;138.8002083;;;;;;
31.01.2017;0;0;3553.88;2354;4978;0;148.078125;1;2017;0.5;305.5;148.078125;;;;;;
01.02.2017;0;0;3689.86;2355;5010;0;153.7441667;2;2017;-1.8;306.875;153.7441667;;;;;;
02.02.2017;0;0;3502.94;2299;5149;0;145.9558333;2;2017;-2.9;310.3333333;145.9558333;;;;;;
03.02.2017;0;0;3916.04;2378;5277;0;163.168125;2;2017;-1.4;318.9583333;163.168125;;;;;;
04.02.2017;0;0;3809.94;2354;5443;0;158.7475;2;2017;-1;324.875;158.7475;;;;;;
05.02.2017;0;0;3590.46;2372;5645;0;149.6022917;2;2017;-3.1;334.0416667;149.6022917;;;;;;
06.02.2017;0;0;3900.81;2675;5860;0;162.5335417;2;2017;-10;355.625;162.5335417;;;;;;
07.02.2017;0;0;3841.13;2625;6407;0;160.0470833;2;2017;-15.3;376.3333333;160.0470833;;;;;;
08.02.2017;0;0;3891.63;2644;6547;0;162.1510417;2;2017;-9.3;382.9583333;162.1510417;;;;;;
09.02.2017;0;0;3957.35;2660;6331;0;164.8895833;2;2017;-9.4;374.625;164.8895833;;;;;;
10.02.2017;0;0;3774.91;2651;6401;0;157.2879167;2;2017;-6.5;377.1666667;157.2879167;;;;;;
11.02.2017;0;0;3619.43;2507;6424;0;150.809375;2;2017;-4.8;372.125;150.809375;;;;;;
12.02.2017;0;0;3341.49;2399;6614;0;139.2285417;2;2017;-5.6;375.5416667;139.2285417;;;;;;
13.02.2017;0;0;3944.45;2317;6182;0;164.3520833;2;2017;-0.6;354.125;164.3520833;;;;;;
14.02.2017;0;0;3822.83;2351;5592;0;159.284375;2;2017;3.1;330.9583333;159.284375;;;;;;
15.02.2017;0;0;3713.8;2511;5074;0;154.7416667;2;2017;-2.1;316.0416667;154.7416667;;;;;;
16.02.2017;0;0;3719.69;2481;5066;0;154.986875;2;2017;-1.5;314.4583333;154.986875;;;;;;
17.02.2017;0;0;3852.61;2184;5020;0;160.5252083;2;2017;-0.1;300.1666667;160.5252083;;;;;;
18.02.2017;0;0;3727.34;2201;4846;0;155.305625;2;2017;0.8;293.625;155.305625;;;;;;
19.02.2017;0;0;3503.9;2166;4896;0;145.9958333;2;2017;1.1;294.25;145.9958333;;;;;;
20.02.2017;0;0;3770.51;1943;5044;0;157.1045833;2;2017;1.5;291.125;157.1045833;;;;;;
21.02.2017;0;0;3586.31;2086;5080;0;149.429375;2;2017;-2.8;298.5833333;149.429375;;;;;;
22.02.2017;0;0;3818.5;2396;5182;0;159.1041667;2;2017;-5.3;315.75;159.1041667;;;;;;
23.02.2017;0;0;3766.84;1784;5718;0;156.9514583;2;2017;-3.2;312.5833333;156.9514583;;;;;;
24.02.2017;149.71;0;3854.6;2048;5457;6.237916667;160.6083333;2;2017;-3.1;312.7083333;166.84625;;;;;;
25.02.2017;0;0;3772.34;2276;5603;0;157.1808333;2;2017;-8;328.2916667;157.1808333;;;;;;
26.02.2017;0;0;3646.4;2148;5832;0;151.9333333;2;2017;-2.8;332.5;151.9333333;;;;;;
27.02.2017;36.96;0;3931.61;2204;5734;1.54;163.816875;2;2017;-3;330.75;165.356875;;;;;;
28.02.2017;0;0;3661.8;2376;5036;0;152.575;2;2017;0.1;308.8333333;152.575;;;;;;
01.03.2017;215.45;0;3829.48;2140;4670;8.976875;159.5614583;3;2017;5;283.75;168.5383333;;;;;;
02.03.2017;0;0;3815.82;2283;4186;0;158.9925;3;2017;3.4;269.5416667;158.9925;;;;;;
03.03.2017;0;0;4015.75;2268;4137;0;167.3229167;3;2017;1.8;266.875;167.3229167;;;;;;
04.03.2017;0;0;4006.35;2277;4183;0;166.9310417;3;2017;0.6;269.1666667;166.9310417;;;;;;
05.03.2017;0;0;3617.74;2440;4266;0;150.7391667;3;2017;-4.4;279.4166667;150.7391667;;;;;;
06.03.2017;0;0;4015.89;2560;4318;0;167.3285417;3;2017;-3.7;286.5833333;167.3285417;;;;;;
07.03.2017;0;0;3682.91;2537;4596;0;153.454375;3;2017;-3.3;297.2083333;153.454375;;;;;;
08.03.2017;0;0;3137.5;2342;4574;0;130.7291667;3;2017;2.2;288.1666667;130.7291667;;;;;;
09.03.2017;0;0;3782.84;2514;4079;0;157.6183333;3;2017;2.9;274.7083333;157.6183333;;;;;;
10.03.2017;0;0;3920.29;2417;4138;0;163.3452083;3;2017;1.5;273.125;163.3452083;;;;;;
11.03.2017;411.15;0;3872.92;2503;4014;17.13125;161.3714583;3;2017;1.2;271.5416667;178.5027083;;;;;;
12.03.2017;0;0;3758.35;2489;3985;0;156.5979167;3;2017;0;269.75;156.5979167;;;;;;
13.03.2017;0;0;3808.59;2553;4020;0;158.69125;3;2017;-0.4;273.875;158.69125;;;;;;
14.03.2017;95.04;0;3577.17;2504;3260;3.96;149.04875;3;2017;1.5;240.1666667;153.00875;;;;;;
15.03.2017;0;0;3881.68;2267;3897;0;161.7366667;3;2017;3.2;256.8333333;161.7366667;;;;;;
16.03.2017;0;0;3845.61;2321;3806;0;160.23375;3;2017;2.7;255.2916667;160.23375;;;;;;
17.03.2017;0;0;3887.37;2391;3705;0;161.97375;3;2017;1.9;254;161.97375;;;;;;
18.03.2017;155.43;0;3840.43;2166;3964;6.47625;160.0177083;3;2017;2.9;255.4166667;166.4939583;;;;;;
19.03.2017;0;0;3776.39;2189;3945;0;157.349375;3;2017;3;255.5833333;157.349375;;;;;;
20.03.2017;0;0;3853.87;2318;3774;0;160.5777083;3;2017;3;253.8333333;160.5777083;;;;;;
21.03.2017;0;0;3859.07;2340;3654;0;160.794375;3;2017;4.6;249.75;160.794375;;;;;;
22.03.2017;152.9;0;3770.72;2411;3457;6.370833333;157.113125;3;2017;4.4;244.5;163.4839583;;;;;;
23.03.2017;0;0;3732.01;2448;3309;0;155.5002083;3;2017;3.2;239.875;155.5002083;;;;;;
24.03.2017;0;0;3905.02;2517;3375;0;162.7089583;3;2017;0.6;245.5;162.7089583;;;;;;
