Date;Qmsk;Qmsk_positive;Qsof;Qsof_positive;Qfrunz;Qfrunz_positive;TEC_Q;B4_N;TEC_N;TEC_Q_Aver;B4_N_Aver;TEC_N_Aver;T
01.10.2016 0:00;4596.117;4596.117;0;0;4308.251;4308.251;8904.368;0;0;371.0153333;0;0;12.1875
02.10.2016 0:00;4858.542;4858.542;0;0;4448.915;4448.915;9307.457;0;0;387.8107083;0;0;10.6375
03.10.2016 0:00;4749.774;4749.774;0;0;4307.325;4307.325;9057.099;0;0;377.379125;0;0;8.6875
04.10.2016 0:00;5034.161;5034.161;0;0;4635.839;4635.839;9670;0;0;402.9166667;0;0;7.6625
05.10.2016 0:00;5371.226;5371.226;0;0;5037.638;5037.638;10408.864;0;0;433.7026667;0;0;8.35
06.10.2016 0:00;5737.288;5737.288;0;0;5004.449;5004.449;10741.737;0;0;447.572375;0;0;7.0125
07.10.2016 0:00;5982.713;5982.713;0;0;5082.799;5082.799;11065.512;0;0;461.063;0;0;7.775
08.10.2016 0:00;6098.973;6098.973;0;0;5281.669;5281.669;11380.642;0;0;474.1934167;0;0;6.3
09.10.2016 0:00;6180.901;6180.901;0;0;5329.45;5329.45;11510.351;0;0;479.5979583;0;0;6.3
10.10.2016 0:00;6112.216;6112.216;0;0;5294.448;5294.448;11406.664;0;0;475.2776667;0;0;5.5375
11.10.2016 0:00;6199.287;6199.287;0;0;5115.749;5115.749;11315.036;0;0;471.4598333;0;0;4.8375
12.10.2016 0:00;6471.379;6471.379;0;0;5297.147;5297.147;11768.526;0;0;490.35525;0;0;4.5
13.10.2016 0:00;6619.264;6619.264;0;0;5688.02;5688.02;12307.284;0;0;512.8035;0;0;1.7875
14.10.2016 0:00;6537.779;6537.779;0;0;5576.902;5576.902;12114.681;0;0;504.778375;0;0;4.55
15.10.2016 0:00;6607.765;6607.765;0;0;5497.839;5497.839;12105.604;0;0;504.4001667;0;0;5.7625
16.10.2016 0:00;6771.817;6771.817;0;0;5710.243;5710.243;12482.06;0;0;520.0858333;0;0;6.1625
17.10.2016 0:00;6146.879;6146.879;0;0;5827.236;5827.236;11974.115;0;0;498.9214583;0;0;6
18.10.2016 0:00;6166.044;6166.044;0;0;5824.95;5824.95;11990.994;0;0;499.62475;0;0;4.5625
19.10.2016 0:00;6775.401;6775.401;0;0;5718.956;5718.956;12494.357;0;0;520.5982083;0;0;2.275
20.10.2016 0:00;7099.582;7099.582;0;0;6305.353;6305.353;13404.935;0;0;558.5389583;0;0;1.7
21.10.2016 0:00;7175.402;7175.402;0;0;6419.516;6419.516;13594.918;0;0;566.4549167;0;0;2.1875
22.10.2016 0:00;7268.562;7268.562;0;0;6561.405;6561.405;13829.967;0;0;576.248625;0;0;2.2
23.10.2016 0:00;7497.959;7497.959;0;0;6740.332;6740.332;14238.291;0;0;593.262125;0;0;3.625
24.10.2016 0:00;7537.957;7537.957;0;0;6376.121;6376.121;13914.078;0;0;579.75325;0;0;4.7875
25.10.2016 0:00;7582.581;7582.581;0;0;6393.113;6393.113;13975.694;0;0;582.3205833;0;0;1.325
26.10.2016 0:00;7607.081;7607.081;0;0;6319.407;6319.407;13926.488;0;0;580.2703333;0;0;1.0375
27.10.2016 0:00;7557.161;7557.161;0;0;6268.303;6268.303;13825.464;0;0;576.061;0;0;2.55
28.10.2016 0:00;7434.217;7434.217;0;0;5866.104;5866.104;13300.321;0;0;554.1800417;0;0;5.5
29.10.2016 0:00;7409.378;7409.378;0;0;5723.758;5723.758;13133.136;0;0;547.214;0;0;5.55
30.10.2016 0:00;7576.633;7576.633;0;0;5802.242;5802.242;13378.875;0;0;557.453125;0;0;2.75
31.10.2016 0:00;7941.248;7941.248;0;0;5770.259;5770.259;13711.507;0;0;571.3127917;0;0;1.075
01.11.2016 0:00;8147.61;8147.61;0;0;6198.272;6198.272;14345.882;0;0;597.7450833;0;0;0.8875
02.11.2016 0:00;8271.462;8271.462;0;0;6742.839;6742.839;15014.301;0;0;625.595875;0;0;-1.2125
03.11.2016 0:00;8807.35;8807.35;0;0;7026.756;7026.756;15834.106;0;0;659.7544167;0;0;-2.2125
04.11.2016 0:00;8743.13;8743.13;0;0;7093.144;7093.144;15836.274;0;0;659.84475;0;0;-1.575
05.11.2016 0:00;8915.58;8915.58;0;0;7186.834;7186.834;16102.414;0;0;670.9339167;0;0;-3.8375
06.11.2016 0:00;9181.62;9181.62;0;0;7257.716;7257.716;16439.336;0;0;684.9723333;0;0;-3.9125
07.11.2016 0:00;9513.194;9513.194;0;0;7814.937;7814.937;17328.131;0;0;722.0054583;0;0;-6.2625
08.11.2016 0:00;10058.415;10058.415;0;0;8275.101;8275.101;18333.516;0;0;763.8965;0;0;-5.2875
09.11.2016 0:00;10431.912;10431.912;0;0;8724.707;8724.707;19156.619;0;0;798.1924583;0;0;-5.5
10.11.2016 0:00;10849.534;10849.534;0;0;8915.73;8915.73;19765.264;0;0;823.5526667;0;0;-7.025
11.11.2016 0:00;11263.287;11263.287;0;0;9084.153;9084.153;20347.44;0;0;847.81;0;0;-9.275
