iter	Passed	Remaining
0	145	291198
1	148	147967
2	150	100105
3	152	76023
4	154	61610
5	156	52026
6	158	45051
7	159	39826
8	161	35730
9	162	32422
10	164	29728
11	165	27457
12	166	25517
13	168	23853
14	169	22414
15	170	21159
16	172	20064
17	173	19124
18	174	18244
19	176	17449
20	177	16728
21	178	16080
22	180	15489
23	181	14944
24	182	14443
25	183	13955
26	185	13565
27	187	13182
28	188	12826
29	190	12533
30	193	12262
31	194	11969
32	196	11690
33	197	11414
34	198	11163
35	200	10957
36	202	10733
37	204	10543
38	206	10368
39	208	10204
40	210	10052
41	211	9874
42	213	9708
43	215	9564
44	216	9420
45	218	9265
46	219	9128
47	222	9032
48	223	8897
49	224	8763
50	225	8636
51	227	8512
52	228	8393
53	229	8277
54	230	8165
55	231	8046
56	233	7942
57	234	7844
58	235	7748
59	236	7654
60	237	7563
61	238	7465
62	240	7381
63	241	7290
64	242	7210
65	243	7138
66	244	7061
67	245	6987
68	247	6916
69	248	6846
70	249	6780
71	250	6719
72	252	6656
73	253	6594
74	254	6533
75	255	6459
76	256	6395
77	257	6341
78	258	6287
79	259	6234
80	261	6184
81	262	6135
82	263	6086
83	264	6042
84	266	6003
85	268	5966
86	269	5922
87	270	5878
88	271	5837
89	273	5796
90	274	5754
91	275	5713
92	276	5675
93	278	5639
94	279	5600
95	280	5563
96	281	5526
97	282	5490
98	284	5454
99	285	5419
100	286	5390
101	287	5357
102	289	5323
103	290	5291
104	291	5260
105	292	5229
106	293	5198
107	295	5167
108	296	5138
109	297	5108
110	298	5080
111	299	5052
112	301	5026
113	302	4999
114	303	4973
115	304	4946
116	305	4920
117	306	4895
118	308	4870
119	309	4845
120	310	4821
121	311	4797
122	312	4774
123	314	4751
124	315	4728
125	316	4707
126	317	4686
127	318	4664
128	320	4643
129	321	4622
130	322	4602
131	323	4583
132	325	4564
133	326	4546
134	327	4530
135	329	4517
136	331	4502
137	332	4484
138	333	4466
139	334	4449
140	336	4430
141	337	4412
142	338	4394
143	339	4376
144	340	4358
145	341	4340
146	343	4323
147	344	4306
148	345	4295
149	346	4279
150	348	4263
151	349	4247
152	350	4231
